93,665,138
615,524,232
807,527,917
509,707,61
289,659,593
71,694,24
293,919,772
855,540,176
78,563,579
713,185,361
108,858,357
693,256,356
200,743,388
754,320,176
647,702,992
841,396,785
371,966,925
332,845,484
227,1000,740
501,947,109
827,543,974
302,972,675
166,628,729
757,255,852
225,279,819
760,818,25
192,701,439
804,25,153
421,134,536
142,555,502
518,507,307
452,486,902
412,647,907
800,713,599
872,757,735
80,865,11
810,104,445
384,128,362
421,459,828
787,976,922
600,815,296
222,279,385
601,657,162
232,26,542
859,321,424
216,363,183
609,42,694
857,355,902
359,412,330
156,423,900
136,707,95
478,173,856
323,924,458
518,121,901
292,646,213
575,728,436
622,562,37
38,642,495
498,316,979
489,393,365
234,90,779
185,294,454
262,363,867
711,184,382
793,27,65
467,99,184
298,35,692
722,135,985
171,801,608
270,736,769
311,421,423
29,567,674
692,28,424
621,150,254
733,102,465
188,841,883
937,300,856
459,594,655
450,157,337
891,250,557
893,271,352
5,770,521
206,879,426
64,683,823
486,976,85
291,848,16
420,333,775
796,193,226
942,977,245
164,803,690
764,556,23
776,988,832
529,211,488
374,516,943
282,497,800
182,782,368
494,190,409
773,399,179
775,777,335
204,237,251
236,956,733
305,393,627
331,563,667
282,402,91
602,60,996
569,239,680
285,886,733
790,85,247
466,639,264
959,983,653
422,812,508
438,413,275
292,111,470
380,994,204
608,956,134
248,105,851
104,676,186
683,822,445
733,856,444
540,834,891
643,97,747
427,23,813
882,995,595
915,188,81
208,418,227
852,949,46
95,926,311
293,769,735
561,566,517
207,936,558
977,118,316
748,198,131
517,486,336
803,174,294
296,367,395
685,826,246
210,634,474
46,632,131
251,609,385
437,744,803
923,735,918
357,310,747
245,610,305
260,223,103
226,507,520
262,621,171
724,145,135
121,295,167
156,494,235
208,781,414
63,408,11
529,53,918
713,337,395
735,63,193
625,958,248
313,492,372
638,3,431
914,143,233
337,685,513
986,961,517
298,654,345
195,385,611
818,18,152
821,385,140
416,69,581
660,956,969
316,767,145
223,530,489
694,154,649
383,52,592
386,689,136
787,472,509
69,987,210
554,396,795
291,956,690
141,753,567
398,583,449
443,97,751
486,868,107
649,962,193
709,743,961
617,972,849
693,746,210
690,162,429
908,980,152
80,798,934
827,32,647
255,132,919
906,887,345
847,129,249
754,311,207
276,660,536
646,163,236
937,421,57
776,595,604
405,706,839
442,765,145
925,870,616
703,258,472
86,789,942
147,8,80
987,1,242
524,438,609
411,160,123
53,902,907
470,150,549
435,982,910
925,459,612
68,854,929
19,484,531
55,412,73
588,675,783
345,363,630
453,989,204
61,372,630
636,344,715
218,826,844
172,283,723
361,49,503
205,914,143
469,690,223
341,836,517
703,224,135
863,610,147
430,650,860
732,798,383
663,434,27
59,103,372
30,986,186
608,521,247
97,751,45
366,684,757
145,562,581
805,661,829
935,430,758
18,128,550
428,510,118
6,295,802
448,459,122
606,301,689
371,171,586
350,311,903
997,523,429
379,124,669
442,427,484
732,153,936
527,793,61
905,79,5
28,478,210
226,646,449
814,546,192
769,466,691
569,608,816
843,963,239
624,120,325
938,539,566
526,536,296
324,516,379
600,1000,637
486,83,272
674,877,278
151,443,342
308,317,895
